dataset,rows_used,dimensions,algorithm,k,silhouette_score,davies_bouldin_index,cluster_compactness,cluster_separation_min,cluster_separation_mean,runtime_seconds
original_28d,200000,28,minibatch,2,0.1815139698727461,2.79339103679423,4.899934467529455,3.742574598799661,3.742574598799661,1.657871100000193
pca_2d,200000,2,minibatch,2,0.3515263195977406,1.13326487458024,0.926880999568,1.6302530636609078,1.6302530636609078,0.0393807000000379
pca_5d,200000,5,minibatch,2,0.1825274220027521,2.075025591239996,1.860949879057376,1.7807666077047757,1.7807666077047757,0.0707588000004761
pca_10d,200000,10,minibatch,2,0.0954986688233706,3.097702256368477,2.8700839594296226,1.7924202992181024,1.7924202992181024,0.1242187000007106
original_28d,500000,28,minibatch,2,0.1313459672715661,3.125625575647793,4.899174936784897,2.954875241584903,2.954875241584903,1.7268686999996137
pca_2d,500000,2,minibatch,2,0.3547184790718283,1.1392930718427674,0.928232530086066,1.6300087117125988,1.6300087117125988,0.053368999999293
pca_5d,500000,5,minibatch,2,0.1837200205236783,2.0528367662732627,1.8484057331644463,1.7658698351842268,1.7658698351842268,0.1683322999997472
pca_10d,500000,10,minibatch,2,0.0963072388172764,3.103812357971085,2.871981424851387,1.7513030137751815,1.7513030137751815,0.2009961000003386
original_28d,1000000,28,minibatch,2,0.1105639049280208,3.279755980284004,4.905141336837452,2.783782955548896,2.783782955548896,1.964726599999267
pca_2d,1000000,2,minibatch,2,0.3497191850732113,1.1299252145668608,0.9283750927857752,1.6340193038450537,1.6340193038450537,0.1609358999994583
pca_5d,1000000,5,minibatch,2,0.1711788879648521,2.135893561663008,1.8648823041766132,1.6977740497855285,1.6977740497855285,0.3401495999987673
pca_10d,1000000,10,minibatch,2,0.074602215609103,3.562712562072231,2.901248958757205,1.6199678053374031,1.6199678053374031,0.2790519999998651
